<4>[  189.582031] C1 [  adafs_flusher] [adafs] No transaction flushed: l_begin=0, l_head=0, l_end=0
<6>[  190.701904] C0 [             cp] [adafs-stat] on write new: staleness=4096, merged=0, len=1
<6>[  190.701965] C0 [             cp] [adafs-stat] on write new: staleness=8192, merged=0, len=2
<6>[  190.702026] C0 [             cp] [adafs-stat] on write new: staleness=12288, merged=0, len=3
<6>[  190.702056] C0 [             cp] [adafs-stat] on write new: staleness=16384, merged=0, len=4
<6>[  190.702117] C0 [             cp] [adafs-stat] on write new: staleness=20480, merged=0, len=5
<6>[  190.702178] C0 [             cp] [adafs-stat] on write new: staleness=24576, merged=0, len=6
<6>[  190.702209] C0 [             cp] [adafs-stat] on write new: staleness=28672, merged=0, len=7
<6>[  190.702270] C0 [             cp] [adafs-stat] on write new: staleness=32768, merged=0, len=8
<6>[  190.702331] C0 [             cp] [adafs-stat] on write new: staleness=36864, merged=0, len=9
<6>[  190.702362] C0 [             cp] [adafs-stat] on write new: staleness=40960, merged=0, len=10
<6>[  190.702423] C0 [             cp] [adafs-stat] on write new: staleness=45056, merged=0, len=11
<6>[  190.702484] C0 [             cp] [adafs-stat] on write new: staleness=49152, merged=0, len=12
<6>[  190.702545] C0 [             cp] [adafs-stat] on write new: staleness=53248, merged=0, len=13
<6>[  190.702575] C0 [             cp] [adafs-stat] on write new: staleness=57344, merged=0, len=14
<6>[  190.702636] C0 [             cp] [adafs-stat] on write new: staleness=61440, merged=0, len=15
<6>[  190.702697] C0 [             cp] [adafs-stat] on write new: staleness=65536, merged=0, len=16
<6>[  190.702728] C0 [             cp] [adafs-stat] on write new: staleness=69632, merged=0, len=17
<6>[  190.703094] C0 [             cp] [adafs-stat] on write new: staleness=73728, merged=0, len=18
<6>[  190.703155] C0 [             cp] [adafs-stat] on write new: staleness=77824, merged=0, len=19
<6>[  190.703216] C0 [             cp] [adafs-stat] on write new: staleness=81920, merged=0, len=20
<6>[  190.703277] C0 [             cp] [adafs-stat] on write new: staleness=86016, merged=0, len=21
<6>[  190.703338] C0 [             cp] [adafs-stat] on write new: staleness=90112, merged=0, len=22
<6>[  190.703369] C0 [             cp] [adafs-stat] on write new: staleness=94208, merged=0, len=23
<6>[  190.703643] C0 [             cp] [adafs-stat] on write new: staleness=98304, merged=0, len=24
<6>[  190.703674] C0 [             cp] [adafs-stat] on write new: staleness=102400, merged=0, len=25
<6>[  190.703735] C0 [             cp] [adafs-stat] on write new: staleness=106496, merged=0, len=26
<6>[  190.703796] C0 [             cp] [adafs-stat] on write new: staleness=110592, merged=0, len=27
<6>[  190.703857] C0 [             cp] [adafs-stat] on write new: staleness=114688, merged=0, len=28
<6>[  190.703918] C0 [             cp] [adafs-stat] on write new: staleness=118784, merged=0, len=29
<6>[  190.703948] C0 [             cp] [adafs-stat] on write new: staleness=122880, merged=0, len=30
<6>[  190.704010] C0 [             cp] [adafs-stat] on write new:d=0, len=38
<6>[  190.704559] C0 [             cp] [adafs-stat] on wte new: staleness=159744, merged=0, len=39
<6>[  190.704620] C0 [             cp] [adafs-stat] on write n0, merged=0, len=40
<6>[  190.704681] C0 [             cp] [adafs-stat] on write new: staleness=167936, merged=0, len=41
<6>[  190.704711] C0 [             cp] [adafs-stat] on write new: staleness=172032, merged=0, len=42
<6>[  190.704772] C0 [             cp] [adafs-stat] on write new: staleness=176128, merged=0, len=43
<6>[  190.704803] C0 [             cp] [adafs-stat] on write new: staleness=180224, merged=0, len=44
<6>[  190.704864] C0 [             cp] [adafs-stat] on write new: staleness=184320, merged=0, len=45
<6>[  190.704925] C0 [             cp] [adafs-stat] on write new: staleness=188416, merged=0, len=46
<6>[  190.704956] C0 [             cp] [adafs-stat] on write new: staleness=192512, merged=0, len=47
